Name and Location,Bill Miller BBQ - 136 West Slaughter Lane,Bill Miller BBQ - 14718 North Interstate 35 Frontage Road,Bill Miller BBQ - 1646 Main Street #3393,Bill Miller BBQ - 1651 West Whitestone Boulevard,Bill Miller BBQ - 709 East Ben White Boulevard,Bill Miller BBQ - 8103 Burnet Road,Bill Miller BBQ - 8700 U.S. 290,Laguna Madre Seafood Company - 10614 Westover Hills Boulevard,Laguna Madre Seafood Company - 18195 U.S. 281,Laguna Madre Seafood Company - 25127 Interstate 10,Laguna Madre Seafood Company - 5123 Rigsby Avenue
Dynamic Aggregation,Favors Completed,Favors Completed,Favors Completed,Favors Completed,Favors Completed,Favors Completed,Favors Completed,Favors Completed,Favors Completed,Favors Completed,Favors Completed
2019-04-01,2,2,,,1,1,1,1,1,,
2019-04-02,2,6,,2,3,3,3,1,,,
2019-04-03,1,3,,1,1,2,1,,,,1
2019-04-04,4,3,1,,3,4,2,2,2,,
2019-04-05,5,4,1,,3,6,3,5,1,,2
2019-04-06,7,5,,3,2,2,,,,,
2019-04-07,4,3,,1,2,2,,2,2,,
2019-04-08,2,5,,3,3,,1,1,2,,
2019-04-09,1,3,,1,3,1,3,1,1,,
2019-04-10,6,5,,1,2,,,1,,,
2019-04-11,2,9,,2,2,2,,,,,
2019-04-12,0,1,,,4,6,,2,,,2
2019-04-13,7,3,1,2,5,3,3,1,1,,1
2019-04-14,3,1,,2,,7,,1,,,1
2019-04-15,3,5,,,2,2,,1,1,,
2019-04-16,2,2,,3,,5,3,1,,,
2019-04-17,3,1,1,,4,1,,1,1,,
2019-04-18,5,4,1,,2,7,0,3,1,,
2019-04-19,5,2,,1,5,3,2,3,4,,
2019-04-20,3,3,1,,4,,1,2,,,1
2019-04-21,5,3,,,5,1,1,,,,
2019-04-22,2,2,,2,,5,2,1,,,
2019-04-23,3,7,,1,,2,3,3,,1,
2019-04-24,4,3,,1,4,1,2,,1,1,
2019-04-25,1,1,1,3,2,6,2,2,3,,1
2019-04-26,5,3,1,,6,3,2,,,,1
2019-04-27,7,6,,1,2,2,,,,1,
2019-04-28,10,6,1,3,4,3,2,2,,,
2019-04-29,2,4,,1,2,2,3,1,,1,
2019-04-30,2,5,,,3,3,2,1,,,
2019-05-01,5,8,,2,6,4,4,2,1,1,
2019-05-02,9,4,,,4,5,3,3,2,1,
2019-05-03,11,10,1,4,7,9,2,7,6,,
2019-05-04,13,11,,7,17,6,1,1,4,1,
2019-05-05,4,10,,,13,8,3,1,5,,2
2019-05-06,8,7,,5,9,5,2,1,1,,
2019-05-07,2,10,1,3,7,8,2,1,3,,
2019-05-08,10,10,,6,8,11,,1,5,,
2019-05-09,5,9,,,10,5,1,5,2,1,1
2019-05-10,6,10,,2,5,5,2,4,2,,
2019-05-11,8,9,,4,8,2,1,1,1,,1
2019-05-12,8,12,,3,7,3,3,1,,,
2019-05-13,5,8,1,,5,6,2,2,1,,
2019-05-14,6,5,,4,7,2,4,,,,0
2019-05-15,3,8,,1,5,12,1,3,2,,1
2019-05-16,1,0,,,1,1,,,,,
