Name and Location,Bill Miller BBQ - 136 West Slaughter Lane,Bill Miller BBQ - 14718 North Interstate 35 Frontage Road,Bill Miller BBQ - 1646 Main Street #3393,Bill Miller BBQ - 1651 West Whitestone Boulevard,Bill Miller BBQ - 709 East Ben White Boulevard,Bill Miller BBQ - 8103 Burnet Road,Bill Miller BBQ - 8700 U.S. 290,Laguna Madre Seafood Company - 10614 Westover Hills Boulevard,Laguna Madre Seafood Company - 18195 U.S. 281,Laguna Madre Seafood Company - 25127 Interstate 10,Laguna Madre Seafood Company - 5123 Rigsby Avenue
Dynamic Aggregation,Items Cost,Items Cost,Items Cost,Items Cost,Items Cost,Items Cost,Items Cost,Items Cost,Items Cost,Items Cost,Items Cost
2019-04-01,$37.46,$14.25,,,$7.50,$26.00,$26.22,$26.30,$24.01,,
2019-04-02,$31.91,$129.93,,$19.12,$42.37,$53.79,$74.73,$17.37,,,
2019-04-03,$8.94,$20.68,,$10.84,$6.56,$13.11,$23.56,,,,$34.69
2019-04-04,$95.72,$41.57,$23.43,,$43.20,$79.40,$37.79,$41.52,$37.83,,
2019-04-05,$123.91,$87.64,$39.82,,$29.41,$67.72,$95.88,$126.16,$17.27,,$40.45
2019-04-06,$152.64,$119.13,,$81.70,$30.11,$10.18,,,,,
2019-04-07,$64.59,$117.51,,$25.44,$29.86,$44.95,,$31.06,$31.28,,
2019-04-08,$14.58,$90.20,,$56.87,$75.55,,$25.44,$87.12,$26.04,,
2019-04-09,$7.25,$88.48,,$12.72,$248.77,$47.09,$39.98,$16.83,$26.47,,
2019-04-10,$103.71,$105.96,,$33.50,$34.31,,,$17.37,,,
2019-04-11,$32.42,$173.70,,$56.67,$24.05,$33.97,,,,,
2019-04-12,,$29.24,,,$25.91,$57.17,,$36.36,,,$41.51
2019-04-13,$124.72,$46.17,$61.97,$33.26,$72.69,$18.60,$31.32,$43.46,$37.83,,$25.82
2019-04-14,$31.33,$11.43,,$59.11,,$123.84,,$19.31,,,$17.27
2019-04-15,$35.24,$116.18,,,$30.02,$22.68,,$41.02,$34.79,,
2019-04-16,$39.62,$34.46,,$134.38,,$62.80,$66.29,$21.70,,,
2019-04-17,$33.59,$29.24,$2.00,,$73.67,$7.42,,$28.36,$8.12,,
2019-04-18,$52.93,$56.21,$6.01,,$24.05,$99.44,,$63.32,$71.25,,
2019-04-19,$50.78,$44.85,,$7.93,$127.70,$32.83,$20.38,$121.28,$63.92,,
2019-04-20,$68.58,$71.64,$18.37,,$59.75,,$23.12,$77.77,,,$16.02
2019-04-21,$254.08,$59.67,,,$95.40,$51.15,$15.63,,,,
2019-04-22,$38.17,$58.58,,$61.96,,$92.70,$20.14,$24.57,,,
2019-04-23,$97.96,$139.26,,$34.98,,$48.51,$71.86,$44.90,,$27.55,
2019-04-24,$78.77,$52.97,,$18.89,$72.50,$11.79,$16.72,,$18.55,$45.41,
2019-04-25,$7.17,$20.87,$61.92,$177.60,$23.76,$59.16,$17.94,$22.51,$74.73,,$33.67
2019-04-26,$101.13,$82.46,$38.76,,$77.72,$19.41,$25.98,,,,$24.74
2019-04-27,$172.91,$105.32,,$12.47,$69.26,$82.61,,,,$8.44,
2019-04-28,$181.27,$154.80,$8.77,$81.62,$122.45,$65.84,$25.07,$38.21,,,
2019-04-29,$32.21,$65.82,,$14.28,$39.20,$24.00,$28.39,$26.06,,$7.52,
2019-04-30,$66.73,$88.61,,,$44.97,$57.25,$35.07,$24.01,,,
2019-05-01,$70.39,$185.03,,$29.06,$92.12,$128.74,$39.08,$54.97,$19.21,$7.52,
2019-05-02,$163.94,$53.95,,,$67.67,$69.89,$20.25,$71.16,$23.22,$14.02,
2019-05-03,$143.73,$164.18,$17.49,$88.15,$86.61,$171.51,$27.78,$110.22,$113.24,,
2019-05-04,$278.78,$208.79,,$199.60,$264.42,$62.27,$77.91,$8.97,$138.00,$21.05,
2019-05-05,$77.02,$202.66,,,$166.39,$158.06,$60.35,$17.31,$72.39,,$51.21
2019-05-06,$89.50,$107.58,,$118.67,$112.84,$45.40,$18.86,$18.23,$9.69,,
2019-05-07,$16.21,$205.83,$6.01,$32.77,$100.88,$93.39,$20.28,$5.09,$71.71,,
2019-05-08,$119.39,$154.15,,$109.15,$117.07,$200.34,,$12.99,$116.85,,
2019-05-09,$93.27,$171.23,,,$160.27,$97.19,$4.74,$158.63,$26.08,$20.30,$50.55
2019-05-10,$75.46,$122.94,,$21.56,$53.30,$52.07,$15.26,$68.15,$30.09,,
2019-05-11,$149.46,$180.72,,$120.50,$137.74,$43.92,$30.69,$9.24,$27.58,,$17.27
2019-05-12,$132.55,$341.53,,$70.61,$137.58,$85.58,$49.31,$10.77,,,
2019-05-13,$69.21,$130.84,$10.12,,$87.06,$73.37,$12.85,$59.10,$15.31,,
2019-05-14,$78.80,$82.38,,$90.50,$97.46,$22.02,$69.82,,,,
2019-05-15,$57.36,$114.62,,$9.33,$69.71,$155.91,$35.10,$66.04,$29.87,,$32.42
2019-05-16,$63.42,,,,$23.34,$65.66,,,,,
